TDNTuple3Agt: USESYM:true, P:15, NORMALIZE:false, sigmoid:none, lambda:0.0, horizon:1, AFTERSTATE:true, learnFromRM: false
TDNTuple3Agt: alpha_init->final:1.0->1.0, epsilon_init->final:0.0->0.0, gamma: 1.0, fixed n-tuple, mode=2, evalQ: 0, evalT: -1
run, gameNum, evalQ, evalT, actionNum, trnMoves, totalTrainSec, movesSecond, , 
0, 5000, 35063.52, 0.0, 6410353, 6410353, 111.028, 57736.36380012249, 0.0, 0.0
0, 10000, 44741.85408, 0.0, 16301196, 16301196, 278.715, 58486.97056132609, 0.0, 0.0
0, 15000, 53641.671416319994, 0.0, 28118055, 28118055, 480.882, 58471.8392453866, 0.0, 0.0
0, 20000, 62557.57468566528, 0.0, 41727420, 41727420, 713.979, 58443.483631871524, 0.0, 0.0
0, 25000, 68584.87029874265, 0.0, 56633761, 56633761, 969.649, 58406.45532558689, 0.0, 0.0
0, 30000, 79771.44348119498, 0.0, 72777939, 72777939, 1247.588, 58334.91425053784, 0.0, 0.0
0, 35000, 74478.73377392479, 0.0, 89887578, 89887578, 1542.019, 58292.13388421284, 0.0, 0.0
0, 40000, 87005.4829350957, 0.0, 108094900, 108094900, 1858.596, 58159.43863001965, 0.0, 0.0
0, 45000, 85144.30993174037, 0.0, 127102852, 127102852, 2187.627, 58100.78774855129, 0.0, 0.0
0, 50000, 89807.00923972696, 0.0, 146934368, 146934368, 2530.772, 58059.10923623305, 0.0, 0.0
0, 55000, 95005.21203695891, 0.0, 167439806, 167439806, 2883.384, 58070.588586189006, 0.0, 0.0
0, 60000, 95826.72484814785, 0.0, 188475090, 188475090, 3245.248, 58077.25326384917, 0.0, 0.0
0, 65000, 106153.03489939259, 0.0, 210431669, 210431669, 3622.076, 58096.977810515295, 0.0, 0.0
0, 70000, 106067.78013959757, 0.0, 233109698, 233109698, 4010.889, 58119.20948198766, 0.0, 0.0
0, 75000, 109819.47112055839, 0.0, 256199259, 256199259, 4410.456, 58089.063579820315, 0.0, 0.0
0, 80000, 105631.77388448223, 0.0, 279833988, 279833988, 4817.225, 58090.2880807934, 0.0, 0.0
0, 85000, 117017.79109553793, 0.0, 303833602, 303833602, 5230.273, 58091.34666584325, 0.0, 0.0
0, 90000, 112831.91116438215, 0.0, 328428991, 328428991, 5653.875, 58089.18502796754, 0.0, 0.0
0, 95000, 115925.13564465752, 0.0, 353261409, 353261409, 6081.59, 58087.01490893006, 0.0, 0.0
0, 100000, 112699.42854257864, 0.0, 378596112, 378596112, 6523.723, 58033.75036003215, 0.0, 0.0
0, 105000, 122574.54171417031, 0.0, 403903565, 403903565, 6960.067, 58031.56277087562, 0.0, 0.0
0, 110000, 123400.58616685668, 0.0, 429693917, 429693917, 7404.847, 58028.73671799026, 0.0, 0.0
0, 115000, 126488.73834466744, 0.0, 455605765, 455605765, 7852.129, 58023.21446833082, 0.0, 0.0
0, 120000, 123874.14695337867, 0.0, 481849631, 481849631, 8305.332, 58016.90179272785, 0.0, 0.0
0, 125000, 129041.6085878135, 0.0, 508404009, 508404009, 8764.03, 58010.299941921694, 0.0, 0.0
0, 130000, 130428.07043435125, 0.0, 535114938, 535114938, 9225.698, 58002.65063955052, 0.0, 0.0
0, 135000, 127030.1762817374, 0.0, 561948974, 561948974, 9689.443, 57996.0038982633, 0.0, 0.0
0, 140000, 125394.66470512694, 0.0, 589128653, 589128653, 10159.402, 57988.51674537537, 0.0, 0.0
0, 145000, 127709.08265882051, 0.0, 616561929, 616561929, 10644.359, 57923.819461557054, 0.0, 0.0
0, 150000, 129022.80433063528, 0.0, 644033246, 644033246, 11119.931, 57917.01819013085, 0.0, 0.0
0, 155000, 130025.06721732255, 0.0, 671838307, 671838307, 11601.49, 57909.657035432516, 0.0, 0.0
0, 160000, 142116.9802688693, 0.0, 699604395, 699604395, 12082.756, 57901.06123139456, 0.0, 0.0
0, 165000, 134583.17192107547, 0.0, 727528628, 727528628, 12567.019, 57891.90165145767, 0.0, 0.0
0, 170000, 134499.5486876843, 0.0, 755741450, 755741450, 13057.036, 57880.01580144223, 0.0, 0.0
0, 175000, 135693.83819475072, 0.0, 784046797, 784046797, 13547.946, 57872.004878082626, 0.0, 0.0
0, 180000, 137609.559352779, 0.0, 812542922, 812542922, 14042.605, 57862.69157325155, 0.0, 0.0
0, 185000, 136877.5582374111, 0.0, 841114349, 841114349, 14538.609, 57853.83931846575, 0.0, 0.0
0, 190000, 136812.51823294963, 0.0, 869708142, 869708142, 15035.121, 57845.10427285554, 0.0, 0.0
0, 195000, 137419.2020729318, 0.0, 898544271, 898544271, 15535.513, 57838.081755008665, 0.0, 0.0
0, 200000, 133748.09280829172, 0.0, 927356220, 927356220, 16035.429, 57831.706279888116, 0.0, 0.0
1, 5000, 34886.752, 0.0, 6320749, 6320749, 108.726, 58134.65960303883, 0.0, 0.0
1, 10000, 44359.499008, 0.0, 16390716, 16390716, 280.572, 58418.92990034643, 0.0, 0.0
1, 15000, 55032.493996032, 0.0, 28577934, 28577934, 487.938, 58568.7812795888, 0.0, 0.0
1, 20000, 57737.71397598412, 0.0, 42251058, 42251058, 720.261, 58660.76047432806, 0.0, 0.0
1, 25000, 66818.02285590394, 0.0, 56923043, 56923043, 969.27, 58727.7466546989, 0.0, 0.0
1, 30000, 73533.22409142362, 0.0, 72554385, 72554385, 1234.149, 58788.99954543577, 0.0, 0.0
1, 35000, 75600.4208963657, 0.0, 88906508, 88906508, 1511.215, 58831.1444764643, 0.0, 0.0
1, 40000, 82207.40968358546, 0.0, 106346181, 106346181, 1806.605, 58865.209052338505, 0.0, 0.0
1, 45000, 88949.62963873435, 0.0, 125254432, 125254432, 2126.757, 58894.566704141565, 0.0, 0.0
1, 50000, 93708.64651855495, 0.0, 145038252, 145038252, 2461.64, 58919.359451422635, 0.0, 0.0
1, 55000, 96789.98658607421, 0.0, 165240546, 165240546, 2803.886, 58932.69055874597, 0.0, 0.0
1, 60000, 97626.5359463443, 0.0, 186547917, 186547917, 3164.908, 58942.603386891504, 0.0, 0.0
1, 65000, 102902.81014378538, 0.0, 208491781, 208491781, 3536.555, 58953.354606389556, 0.0, 0.0
1, 70000, 111938.93924057513, 0.0, 230828782, 230828782, 3914.983, 58960.35359540514, 0.0, 0.0
1, 75000, 111204.6837569623, 0.0, 253884689, 253884689, 4305.901, 58962.03582014543, 0.0, 0.0
1, 80000, 114092.54673502785, 0.0, 277280641, 277280641, 4702.418, 58965.54517271753, 0.0, 0.0
1, 85000, 113798.9621869401, 0.0, 301551514, 301551514, 5113.907, 58966.95305565783, 0.0, 0.0
1, 90000, 112437.86784874776, 0.0, 325779223, 325779223, 5524.703, 58967.73509815821, 0.0, 0.0
1, 95000, 116438.47147139498, 0.0, 350583105, 350583105, 5945.36, 58967.51500329669, 0.0, 0.0
1, 100000, 118302.23388588558, 0.0, 375656144, 375656144, 6371.03, 58963.17298772726, 0.0, 0.0
1, 105000, 120198.36093554353, 0.0, 401312633, 401312633, 6807.093, 58955.068338275974, 0.0, 0.0
1, 110000, 116935.68944374217, 0.0, 427345637, 427345637, 7249.348, 58949.52718506547, 0.0, 0.0
1, 115000, 119852.23875777496, 0.0, 453577608, 453577608, 7695.267, 58942.41330417775, 0.0, 0.0
1, 120000, 127778.70495503109, 0.0, 480074075, 480074075, 8145.662, 58936.16442715153, 0.0, 0.0
1, 125000, 126652.52281982012, 0.0, 506634346, 506634346, 8597.181, 58930.28726509305, 0.0, 0.0
1, 130000, 122891.18609127928, 0.0, 533711257, 533711257, 9057.704, 58923.459742115665, 0.0, 0.0
1, 135000, 129184.63674436513, 0.0, 560735859, 560735859, 9517.591, 58915.7339288902, 0.0, 0.0
1, 140000, 130850.78654697746, 0.0, 588237886, 588237886, 9985.667, 58908.22175424035, 0.0, 0.0
1, 145000, 134405.7231461879, 0.0, 615808834, 615808834, 10454.894, 58901.48996249986, 0.0, 0.0
1, 150000, 132473.68689258475, 0.0, 643660786, 643660786, 10929.244, 58893.44093699436, 0.0, 0.0
1, 155000, 136012.67874757035, 0.0, 671528239, 671528239, 11404.109, 58884.761536390084, 0.0, 0.0
1, 160000, 131923.81071499028, 0.0, 699680296, 699680296, 11884.129, 58875.18521550885, 0.0, 0.0
1, 165000, 139038.62324285996, 0.0, 728064107, 728064107, 12368.173, 58865.93816241089, 0.0, 0.0
1, 170000, 140924.12249297142, 0.0, 756793121, 756793121, 12857.935, 58858.06087836033, 0.0, 0.0
1, 175000, 141958.33648997187, 0.0, 785443742, 785443742, 13346.861, 58848.57435767106, 0.0, 0.0
1, 180000, 141565.9453459599, 0.0, 814687568, 814687568, 13846.018, 58839.1238549596, 0.0, 0.0
1, 185000, 142884.35978138383, 0.0, 843775848, 843775848, 14342.565, 58830.19167073672, 0.0, 0.0
1, 190000, 149632.70543912554, 0.0, 872993693, 872993693, 14841.311, 58821.87180094804, 0.0, 0.0
1, 195000, 141773.53882175652, 0.0, 902756010, 902756010, 15349.432, 58813.642745868376, 0.0, 0.0
1, 200000, 139881.62215528704, 0.0, 932530914, 932530914, 15858.082, 58804.77311190597, 0.0, 0.0
2, 5000, 35610.336, 0.0, 6511368, 6511368, 110.866, 58731.87451518049, 0.0, 0.0
2, 10000, 46833.785343999996, 0.0, 16749967, 16749967, 283.929, 58993.505418608176, 0.0, 0.0
2, 15000, 53380.663141376004, 0.0, 28960243, 28960243, 489.859, 59119.54868645876, 0.0, 0.0
2, 20000, 62216.146652565505, 0.0, 42486176, 42486176, 717.826, 59187.29051329988, 0.0, 0.0
2, 25000, 63295.24858661026, 0.0, 57289759, 57289759, 966.868, 59252.92697658832, 0.0, 0.0
2, 30000, 70138.17299434645, 0.0, 73144699, 73144699, 1233.428, 59301.9608765165, 0.0, 0.0
2, 35000, 77149.04869197738, 0.0, 90103380, 90103380, 1518.189, 59349.25098258517, 0.0, 0.0
2, 40000, 78731.70019476791, 0.0, 107574319, 107574319, 1811.39, 59387.718271603575, 0.0, 0.0
2, 45000, 86776.63880077908, 0.0, 125686390, 125686390, 2115.225, 59419.86786275692, 0.0, 0.0
2, 50000, 86404.40255520311, 0.0, 144486422, 144486422, 2430.35, 59450.87003929476, 0.0, 0.0
2, 55000, 91168.97761022081, 0.0, 164199174, 164199174, 2760.698, 59477.41259637962, 0.0, 0.0
2, 60000, 100550.19591044089, 0.0, 184532160, 184532160, 3101.381, 59499.99693684846, 0.0, 0.0
2, 65000, 100945.00078364175, 0.0, 205642577, 205642577, 3455.14, 59517.871055876174, 0.0, 0.0
2, 70000, 101434.21200313457, 0.0, 227040023, 227040023, 3813.737, 59532.16569469788, 0.0, 0.0
2, 75000, 105801.89684801253, 0.0, 249274221, 249274221, 4186.299, 59545.25011233072, 0.0, 0.0
2, 80000, 106970.18358739205, 0.0, 271996825, 271996825, 4567.112, 59555.5407881392, 0.0, 0.0
2, 85000, 115863.83273434956, 0.0, 295274668, 295274668, 4957.505, 59561.14376082324, 0.0, 0.0
2, 90000, 119299.6153309374, 0.0, 318972479, 318972479, 5354.929, 59566.14532144123, 0.0, 0.0
2, 95000, 116147.64646132375, 0.0, 342943129, 342943129, 5757.271, 59566.95958901362, 0.0, 0.0
2, 100000, 112851.10258584529, 0.0, 367358844, 367358844, 6167.048, 59568.02087481726, 0.0, 0.0
2, 105000, 113727.43641034338, 0.0, 392198124, 392198124, 6584.044, 59567.9682578063, 0.0, 0.0
2, 110000, 116457.64574564138, 0.0, 417439078, 417439078, 7008.009, 59566.0019843011, 0.0, 0.0
2, 115000, 118958.64658298258, 0.0, 442946813, 442946813, 7436.396, 59564.715622998025, 0.0, 0.0
2, 120000, 124390.13858633193, 0.0, 468694401, 468694401, 7869.158, 59560.934092313306, 0.0, 0.0
2, 125000, 118308.39255434532, 0.0, 494508729, 494508729, 8303.085, 59557.22830730988, 0.0, 0.0
2, 130000, 126788.08157021739, 0.0, 520821535, 520821535, 8745.459, 59553.36763913706, 0.0, 0.0
2, 135000, 122312.70432628086, 0.0, 547485909, 547485909, 9193.821, 59549.33307924964, 0.0, 0.0
2, 140000, 136163.2028173051, 0.0, 574015015, 574015015, 9639.994, 59545.16309864923, 0.0, 0.0
2, 145000, 129837.14881126922, 0.0, 601036302, 601036302, 10094.579, 59540.502085327185, 0.0, 0.0
2, 150000, 132157.26859524508, 0.0, 628408468, 628408468, 10557.471, 59522.63264564023, 0.0, 0.0
2, 155000, 136018.485074381, 0.0, 655986410, 655986410, 11021.518, 59518.698785412314, 0.0, 0.0
2, 160000, 129309.91394029751, 0.0, 683745632, 683745632, 11489.06, 59512.7566572026, 0.0, 0.0
2, 165000, 138205.86365576118, 0.0, 711522883, 711522883, 11956.305, 59510.26533699165, 0.0, 0.0
2, 170000, 134695.57545462303, 0.0, 739622100, 739622100, 12429.362, 59506.039006668245, 0.0, 0.0
2, 175000, 131508.5103018185, 0.0, 768141319, 768141319, 12909.372, 59502.60934459089, 0.0, 0.0
2, 180000, 135457.2020412073, 0.0, 796602301, 796602301, 13388.88, 59497.30679489248, 0.0, 0.0
2, 185000, 140429.74880816485, 0.0, 825181062, 825181062, 13870.501, 59491.79932289396, 0.0, 0.0
2, 190000, 141275.67099523265, 0.0, 854091254, 854091254, 14357.868, 59485.93858085337, 0.0, 0.0
2, 195000, 138218.97468398095, 0.0, 883144263, 883144263, 14847.864, 59479.5495836977, 0.0, 0.0
2, 200000, 147006.36389873593, 0.0, 912019055, 912019055, 15335.144, 59472.48066271826, 0.0, 0.0
3, 5000, 34872.096, 0.0, 6494868, 6494868, 110.69, 58676.194778209414, 0.0, 0.0
3, 10000, 45391.792384, 0.0, 16519358, 16519358, 280.607, 58870.085208138065, 0.0, 0.0
3, 15000, 52424.623169536004, 0.0, 28320497, 28320497, 480.332, 58960.25457391971, 0.0, 0.0
3, 20000, 54755.058492678145, 0.0, 41638844, 41638844, 705.771, 58997.66921565211, 0.0, 0.0
3, 25000, 65209.084233970716, 0.0, 56361452, 56361452, 955.014, 59016.362063802204, 0.0, 0.0
3, 30000, 68013.12433693587, 0.0, 71815406, 71815406, 1216.747, 59022.46399621285, 0.0, 0.0
3, 35000, 70445.87649734774, 0.0, 88273196, 88273196, 1495.569, 59023.15172352463, 0.0, 0.0
3, 40000, 76683.78350598938, 0.0, 105592710, 105592710, 1788.912, 59026.218170597545, 0.0, 0.0
3, 45000, 82664.89513402396, 0.0, 123814014, 123814014, 2097.57, 59027.35737067177, 0.0, 0.0
3, 50000, 83998.3875805361, 0.0, 142610875, 142610875, 2416.08, 59025.725555445184, 0.0, 0.0
3, 55000, 90078.04155032214, 0.0, 162320573, 162320573, 2749.962, 59026.47854770357, 0.0, 0.0
3, 60000, 93440.1361662013, 0.0, 182613500, 182613500, 3093.462, 59032.0812086911, 0.0, 0.0
3, 65000, 101239.1365446648, 0.0, 203688482, 203688482, 3450.069, 59038.958930966306, 0.0, 0.0
3, 70000, 98864.89254617867, 0.0, 225276538, 225276538, 3815.325, 59045.176492173014, 0.0, 0.0
3, 75000, 106406.16357018471, 0.0, 247872280, 247872280, 4197.644, 59050.33394923438, 0.0, 0.0
3, 80000, 108310.12065428073, 0.0, 271319423, 271319423, 4594.016, 59059.311722031445, 0.0, 0.0
3, 85000, 110594.37648261712, 0.0, 295179868, 295179868, 4997.514, 59065.340887489256, 0.0, 0.0
3, 90000, 109368.87350593047, 0.0, 319092588, 319092588, 5401.9, 59070.43595771858, 0.0, 0.0
3, 95000, 108388.40349402373, 0.0, 343599474, 343599474, 5816.367, 59074.58624945778, 0.0, 0.0
3, 100000, 121021.15361397609, 0.0, 368642474, 368642474, 6239.704, 59080.12206989306, 0.0, 0.0
3, 105000, 122884.62861445591, 0.0, 393767065, 393767065, 6664.549, 59083.82772787776, 0.0, 0.0
3, 110000, 119148.91451445782, 0.0, 419207122, 419207122, 7094.874, 59085.91498594619, 0.0, 0.0
3, 115000, 122390.91565805784, 0.0, 445041357, 445041357, 7531.566, 59090.1489809689, 0.0, 0.0
3, 120000, 132358.92366263224, 0.0, 471204438, 471204438, 7973.729, 59094.61407579816, 0.0, 0.0
3, 125000, 128801.57969465053, 0.0, 497750598, 497750598, 8422.482, 59097.85239077982, 0.0, 0.0
3, 130000, 133759.9903187786, 0.0, 524361937, 524361937, 8872.598, 59099.03018259139, 0.0, 0.0
3, 135000, 130141.03996127512, 0.0, 551379857, 551379857, 9329.605, 59100.02159791331, 0.0, 0.0
3, 140000, 139280.5001598451, 0.0, 578627687, 578627687, 9791.006, 59097.87891050215, 0.0, 0.0
3, 145000, 136677.25000063938, 0.0, 606240618, 606240618, 10258.531, 59096.240777553816, 0.0, 0.0
3, 150000, 131899.20500000258, 0.0, 633968081, 633968081, 10728.057, 59094.39901372634, 0.0, 0.0
3, 155000, 133370.15682, 0.0, 661783084, 661783084, 11199.695, 59089.38448770257, 0.0, 0.0
3, 160000, 138799.92862728, 0.0, 690248468, 690248468, 11682.314, 59084.90971908476, 0.0, 0.0
3, 165000, 138961.10371450914, 0.0, 718553591, 718553591, 12162.258, 59080.607482590814, 0.0, 0.0
3, 170000, 137936.27641485803, 0.0, 747271706, 747271706, 12649.402, 59075.65480170525, 0.0, 0.0
3, 175000, 140659.84110565943, 0.0, 775991236, 775991236, 13136.839, 59069.85965192997, 0.0, 0.0
3, 180000, 141640.3033644226, 0.0, 804928724, 804928724, 13628.056, 59064.08984524278, 0.0, 0.0
3, 185000, 137736.6572134577, 0.0, 833928905, 833928905, 14120.447, 59058.25113043518, 0.0, 0.0
3, 190000, 135890.05062885382, 0.0, 863086843, 863086843, 14615.74, 59051.87441757995, 0.0, 0.0
3, 195000, 143135.97620251542, 0.0, 892642989, 892642989, 15117.899, 59045.43938281371, 0.0, 0.0
3, 200000, 151286.52790481006, 0.0, 922248911, 922248911, 15621.039, 59038.89690051987, 0.0, 0.0
4, 5000, 34372.4, 0.0, 6318886, 6318886, 107.782, 58626.54246534672, 0.0, 0.0
4, 10000, 45410.8496, 0.0, 16440552, 16440552, 279.173, 58890.19353590784, 0.0, 0.0
4, 15000, 53221.003398400004, 0.0, 28493244, 28493244, 482.682, 59031.08879137817, 0.0, 0.0
4, 20000, 62590.8360135936, 0.0, 41882361, 41882361, 708.306, 59130.32079355532, 0.0, 0.0
4, 25000, 65199.86734405437, 0.0, 56530842, 56530842, 954.946, 59197.94627130748, 0.0, 0.0
4, 30000, 69182.38346937622, 0.0, 71873384, 71873384, 1213.159, 59244.81786806181, 0.0, 0.0
4, 35000, 76447.0335338775, 0.0, 88407260, 88407260, 1491.33, 59280.81645242837, 0.0, 0.0
4, 40000, 77943.82013413552, 0.0, 105664626, 105664626, 1781.359, 59316.86201377712, 0.0, 0.0
4, 45000, 83485.96728053653, 0.0, 123846004, 123846004, 2086.667, 59351.11064678744, 0.0, 0.0
4, 50000, 84079.86386912214, 0.0, 142435339, 142435339, 2398.806, 59377.59827180689, 0.0, 0.0
4, 55000, 88737.79145547649, 0.0, 162126960, 162126960, 2729.481, 59398.45706931097, 0.0, 0.0
4, 60000, 97300.61516582192, 0.0, 182363606, 182363606, 3069.05, 59420.21342109121, 0.0, 0.0
4, 65000, 96524.46646066329, 0.0, 203417924, 203417924, 3422.352, 59438.04845322749, 0.0, 0.0
4, 70000, 104513.24986584265, 0.0, 225020924, 225020924, 3784.965, 59451.25622033493, 0.0, 0.0
4, 75000, 113434.64499946337, 0.0, 247433331, 247433331, 4161.233, 59461.54204775363, 0.0, 0.0
4, 80000, 104272.65057999785, 0.0, 270319050, 270319050, 4545.249, 59472.880363650045, 0.0, 0.0
4, 85000, 115874.17860231998, 0.0, 293666061, 293666061, 4937.284, 59479.272612229724, 0.0, 0.0
4, 90000, 110337.30471440927, 0.0, 317931953, 317931953, 5344.803, 59484.3164472105, 0.0, 0.0
4, 95000, 118283.38121885764, 0.0, 342393503, 342393503, 5755.77, 59487.00226034049, 0.0, 0.0
4, 100000, 117935.50152487544, 0.0, 367164316, 367164316, 6172.056, 59488.16990642989, 0.0, 0.0
4, 105000, 121232.3340060995, 0.0, 392097443, 392097443, 6591.234, 59487.71398496852, 0.0, 0.0
4, 110000, 120966.6093360244, 0.0, 417453555, 417453555, 7017.638, 59486.33357833505, 0.0, 0.0
4, 115000, 120070.8744373441, 0.0, 443259073, 443259073, 7451.656, 59484.63979013524, 0.0, 0.0
4, 120000, 126167.49949774938, 0.0, 469017875, 469017875, 7884.978, 59482.45828967437, 0.0, 0.0
4, 125000, 122320.141997991, 0.0, 495342602, 495342602, 8328.206, 59477.7076839838, 0.0, 0.0
4, 130000, 129307.39256799198, 0.0, 521743360, 521743360, 8772.371, 59475.751766540656, 0.0, 0.0
4, 135000, 127974.63757027197, 0.0, 548228684, 548228684, 9218.636, 59469.60960385029, 0.0, 0.0
4, 140000, 122076.3305502811, 0.0, 574991064, 574991064, 9669.84, 59462.3141644536, 0.0, 0.0
4, 145000, 128440.20932220113, 0.0, 602242229, 602242229, 10128.99, 59457.28340140527, 0.0, 0.0
4, 150000, 131530.8648372888, 0.0, 629932722, 629932722, 10595.307, 59453.9376725941, 0.0, 0.0
4, 155000, 131416.89145934916, 0.0, 657533880, 657533880, 11060.43, 59449.21490394135, 0.0, 0.0
4, 160000, 139206.8355658374, 0.0, 685852321, 685852321, 11538.044, 59442.68551931332, 0.0, 0.0
4, 165000, 131448.17134226335, 0.0, 714047978, 714047978, 12013.744, 59435.92422145835, 0.0, 0.0
4, 170000, 141336.48068536905, 0.0, 742674687, 742674687, 12496.749, 59429.4313665098, 0.0, 0.0
4, 175000, 136799.72992274148, 0.0, 771235028, 771235028, 12978.786, 59422.74015458765, 0.0, 0.0
4, 180000, 136619.15091969096, 0.0, 800052186, 800052186, 13465.178, 59416.38394977029, 0.0, 0.0
4, 185000, 143059.51660367876, 0.0, 828867611, 828867611, 13951.821, 59409.27789999599, 0.0, 0.0
4, 190000, 138301.83806641473, 0.0, 858013504, 858013504, 14444.072, 59402.466562060894, 0.0, 0.0
