TDNTuple4Agt: USESYM:true, P:4, NORMALIZE:false, sigmoid:tanh, lambda:0.5, horizon:4, AFTERSTATE:false, learnFromRM: true
TDNTuple4Agt: alpha_init->final:0.2->0.2, epsilon_init->final:0.2->0.1, gamma: 1.0, random 100 7-tuple, evalQ: 9, evalT: 10
agtFile; run; competeNum; dEdax; iterMWrap; EPS; p_MWrap; c_puct; winrate; time; user2
WrappeMCTS-100_EX0_00.agt.zip; 0; 1; 1; 0; 1.0E-8; 0; 1.0; 0.0; 0.446; 0.0
WrappeMCTS-100_EX0_00.agt.zip; 0; 1; 1; 0; 1.0E-8; 1; 1.0; 0.0; 0.259; 0.0
WrappeMCTS-100_EX0_00.agt.zip; 0; 1; 2; 0; 1.0E-8; 0; 1.0; 0.0; 0.42; 0.0
WrappeMCTS-100_EX0_00.agt.zip; 0; 1; 2; 0; 1.0E-8; 1; 1.0; 0.0; 0.254; 0.0
WrappeMCTS-100_EX0_00.agt.zip; 0; 1; 3; 0; 1.0E-8; 0; 1.0; 1.0; 0.413; 0.0
WrappeMCTS-100_EX0_00.agt.zip; 0; 1; 3; 0; 1.0E-8; 1; 1.0; 0.0; 0.266; 0.0
WrappeMCTS-100_EX0_00.agt.zip; 0; 1; 4; 0; 1.0E-8; 0; 1.0; 0.0; 0.439; 0.0
WrappeMCTS-100_EX0_00.agt.zip; 0; 1; 4; 0; 1.0E-8; 1; 1.0; 0.0; 0.267; 0.0
WrappeMCTS-100_EX0_00.agt.zip; 0; 1; 5; 0; 1.0E-8; 0; 1.0; 0.0; 0.441; 0.0
WrappeMCTS-100_EX0_00.agt.zip; 0; 1; 5; 0; 1.0E-8; 1; 1.0; 0.0; 0.255; 0.0
WrappeMCTS-100_EX0_00.agt.zip; 0; 1; 6; 0; 1.0E-8; 0; 1.0; 0.0; 0.455; 0.0
WrappeMCTS-100_EX0_00.agt.zip; 0; 1; 6; 0; 1.0E-8; 1; 1.0; 0.0; 0.348; 0.0
WrappeMCTS-100_EX0_00.agt.zip; 0; 1; 7; 0; 1.0E-8; 0; 1.0; 0.0; 0.579; 0.0
WrappeMCTS-100_EX0_00.agt.zip; 0; 1; 7; 0; 1.0E-8; 1; 1.0; 0.0; 0.349; 0.0
WrappeMCTS-100_EX0_00.agt.zip; 0; 1; 8; 0; 1.0E-8; 0; 1.0; 0.0; 0.73; 0.0
WrappeMCTS-100_EX0_00.agt.zip; 0; 1; 8; 0; 1.0E-8; 1; 1.0; 0.0; 0.66; 0.0
WrappeMCTS-100_EX0_00.agt.zip; 0; 1; 9; 0; 1.0E-8; 0; 1.0; 0.0; 0.857; 0.0
WrappeMCTS-100_EX0_00.agt.zip; 0; 1; 9; 0; 1.0E-8; 1; 1.0; 0.0; 0.765; 0.0
WrappeMCTS-100_EX0_00.agt.zip; 0; 1; 1; 10000; 1.0E-8; 0; 1.0; 1.0; 42.267; 0.0
WrappeMCTS-100_EX0_00.agt.zip; 0; 1; 1; 10000; 1.0E-8; 1; 1.0; 1.0; 42.608; 0.0
WrappeMCTS-100_EX0_00.agt.zip; 0; 1; 2; 10000; 1.0E-8; 0; 1.0; 1.0; 38.183; 0.0
WrappeMCTS-100_EX0_00.agt.zip; 0; 1; 2; 10000; 1.0E-8; 1; 1.0; 1.0; 42.622; 0.0
WrappeMCTS-100_EX0_00.agt.zip; 0; 1; 3; 10000; 1.0E-8; 0; 1.0; 1.0; 38.037; 0.0
WrappeMCTS-100_EX0_00.agt.zip; 0; 1; 3; 10000; 1.0E-8; 1; 1.0; 1.0; 42.082; 0.0
WrappeMCTS-100_EX0_00.agt.zip; 0; 1; 4; 10000; 1.0E-8; 0; 1.0; 1.0; 40.299; 0.0
WrappeMCTS-100_EX0_00.agt.zip; 0; 1; 4; 10000; 1.0E-8; 1; 1.0; 1.0; 43.758; 0.0
WrappeMCTS-100_EX0_00.agt.zip; 0; 1; 5; 10000; 1.0E-8; 0; 1.0; 1.0; 45.368; 0.0
WrappeMCTS-100_EX0_00.agt.zip; 0; 1; 5; 10000; 1.0E-8; 1; 1.0; 1.0; 50.389; 0.0
WrappeMCTS-100_EX0_00.agt.zip; 0; 1; 6; 10000; 1.0E-8; 0; 1.0; 0.0; 46.922; 0.0
WrappeMCTS-100_EX0_00.agt.zip; 0; 1; 6; 10000; 1.0E-8; 1; 1.0; 0.0; 49.626; 0.0
WrappeMCTS-100_EX0_00.agt.zip; 0; 1; 7; 10000; 1.0E-8; 0; 1.0; 1.0; 46.64; 0.0
WrappeMCTS-100_EX0_00.agt.zip; 0; 1; 7; 10000; 1.0E-8; 1; 1.0; 1.0; 48.399; 0.0
WrappeMCTS-100_EX0_00.agt.zip; 0; 1; 8; 10000; 1.0E-8; 0; 1.0; 0.0; 47.96; 0.0
WrappeMCTS-100_EX0_00.agt.zip; 0; 1; 8; 10000; 1.0E-8; 1; 1.0; 1.0; 50.981; 0.0
WrappeMCTS-100_EX0_00.agt.zip; 0; 1; 9; 10000; 1.0E-8; 0; 1.0; 0.0; 46.689; 0.0
WrappeMCTS-100_EX0_00.agt.zip; 0; 1; 9; 10000; 1.0E-8; 1; 1.0; 1.0; 47.369; 0.0
WrappeMCTS-100_EX0_01.agt.zip; 1; 1; 1; 0; 1.0E-8; 0; 1.0; 1.0; 0.47; 0.0
WrappeMCTS-100_EX0_01.agt.zip; 1; 1; 1; 0; 1.0E-8; 1; 1.0; 0.0; 0.289; 0.0
WrappeMCTS-100_EX0_01.agt.zip; 1; 1; 2; 0; 1.0E-8; 0; 1.0; 0.0; 0.458; 0.0
WrappeMCTS-100_EX0_01.agt.zip; 1; 1; 2; 0; 1.0E-8; 1; 1.0; 0.0; 0.287; 0.0
WrappeMCTS-100_EX0_01.agt.zip; 1; 1; 3; 0; 1.0E-8; 0; 1.0; 0.0; 0.467; 0.0
WrappeMCTS-100_EX0_01.agt.zip; 1; 1; 3; 0; 1.0E-8; 1; 1.0; 0.0; 0.297; 0.0
WrappeMCTS-100_EX0_01.agt.zip; 1; 1; 4; 0; 1.0E-8; 0; 1.0; 0.0; 0.481; 0.0
WrappeMCTS-100_EX0_01.agt.zip; 1; 1; 4; 0; 1.0E-8; 1; 1.0; 0.0; 0.313; 0.0
WrappeMCTS-100_EX0_01.agt.zip; 1; 1; 5; 0; 1.0E-8; 0; 1.0; 0.0; 0.481; 0.0
WrappeMCTS-100_EX0_01.agt.zip; 1; 1; 5; 0; 1.0E-8; 1; 1.0; 0.0; 0.368; 0.0
WrappeMCTS-100_EX0_01.agt.zip; 1; 1; 6; 0; 1.0E-8; 0; 1.0; 0.0; 0.579; 0.0
WrappeMCTS-100_EX0_01.agt.zip; 1; 1; 6; 0; 1.0E-8; 1; 1.0; 0.5; 0.371; 0.0
WrappeMCTS-100_EX0_01.agt.zip; 1; 1; 7; 0; 1.0E-8; 0; 1.0; 0.0; 0.562; 0.0
WrappeMCTS-100_EX0_01.agt.zip; 1; 1; 7; 0; 1.0E-8; 1; 1.0; 0.0; 0.454; 0.0
WrappeMCTS-100_EX0_01.agt.zip; 1; 1; 8; 0; 1.0E-8; 0; 1.0; 0.0; 0.743; 0.0
WrappeMCTS-100_EX0_01.agt.zip; 1; 1; 8; 0; 1.0E-8; 1; 1.0; 0.0; 0.636; 0.0
WrappeMCTS-100_EX0_01.agt.zip; 1; 1; 9; 0; 1.0E-8; 0; 1.0; 0.0; 1.143; 0.0
WrappeMCTS-100_EX0_01.agt.zip; 1; 1; 9; 0; 1.0E-8; 1; 1.0; 0.0; 1.024; 0.0
WrappeMCTS-100_EX0_01.agt.zip; 1; 1; 1; 10000; 1.0E-8; 0; 1.0; 1.0; 44.227; 0.0
WrappeMCTS-100_EX0_01.agt.zip; 1; 1; 1; 10000; 1.0E-8; 1; 1.0; 1.0; 47.97; 0.0
WrappeMCTS-100_EX0_01.agt.zip; 1; 1; 2; 10000; 1.0E-8; 0; 1.0; 1.0; 43.495; 0.0
WrappeMCTS-100_EX0_01.agt.zip; 1; 1; 2; 10000; 1.0E-8; 1; 1.0; 1.0; 49.77; 0.0
WrappeMCTS-100_EX0_01.agt.zip; 1; 1; 3; 10000; 1.0E-8; 0; 1.0; 1.0; 43.041; 0.0
WrappeMCTS-100_EX0_01.agt.zip; 1; 1; 3; 10000; 1.0E-8; 1; 1.0; 1.0; 46.174; 0.0
WrappeMCTS-100_EX0_01.agt.zip; 1; 1; 4; 10000; 1.0E-8; 0; 1.0; 1.0; 44.655; 0.0
WrappeMCTS-100_EX0_01.agt.zip; 1; 1; 4; 10000; 1.0E-8; 1; 1.0; 1.0; 47.962; 0.0
WrappeMCTS-100_EX0_01.agt.zip; 1; 1; 5; 10000; 1.0E-8; 0; 1.0; 1.0; 48.821; 0.0
WrappeMCTS-100_EX0_01.agt.zip; 1; 1; 5; 10000; 1.0E-8; 1; 1.0; 1.0; 45.406; 0.0
WrappeMCTS-100_EX0_01.agt.zip; 1; 1; 6; 10000; 1.0E-8; 0; 1.0; 1.0; 46.886; 0.0
WrappeMCTS-100_EX0_01.agt.zip; 1; 1; 6; 10000; 1.0E-8; 1; 1.0; 0.0; 48.665; 0.0
WrappeMCTS-100_EX0_01.agt.zip; 1; 1; 7; 10000; 1.0E-8; 0; 1.0; 1.0; 49.15; 0.0
WrappeMCTS-100_EX0_01.agt.zip; 1; 1; 7; 10000; 1.0E-8; 1; 1.0; 1.0; 47.927; 0.0
WrappeMCTS-100_EX0_01.agt.zip; 1; 1; 8; 10000; 1.0E-8; 0; 1.0; 0.0; 49.21; 0.0
WrappeMCTS-100_EX0_01.agt.zip; 1; 1; 8; 10000; 1.0E-8; 1; 1.0; 1.0; 48.622; 0.0
WrappeMCTS-100_EX0_01.agt.zip; 1; 1; 9; 10000; 1.0E-8; 0; 1.0; 0.0; 51.702; 0.0
WrappeMCTS-100_EX0_01.agt.zip; 1; 1; 9; 10000; 1.0E-8; 1; 1.0; 1.0; 46.954; 0.0
WrappeMCTS-100_EX0_02.agt.zip; 2; 1; 1; 0; 1.0E-8; 0; 1.0; 1.0; 0.495; 0.0
WrappeMCTS-100_EX0_02.agt.zip; 2; 1; 1; 0; 1.0E-8; 1; 1.0; 1.0; 0.315; 0.0
WrappeMCTS-100_EX0_02.agt.zip; 2; 1; 2; 0; 1.0E-8; 0; 1.0; 0.0; 0.502; 0.0
WrappeMCTS-100_EX0_02.agt.zip; 2; 1; 2; 0; 1.0E-8; 1; 1.0; 0.0; 0.362; 0.0
WrappeMCTS-100_EX0_02.agt.zip; 2; 1; 3; 0; 1.0E-8; 0; 1.0; 0.0; 0.528; 0.0
WrappeMCTS-100_EX0_02.agt.zip; 2; 1; 3; 0; 1.0E-8; 1; 1.0; 0.0; 0.357; 0.0
WrappeMCTS-100_EX0_02.agt.zip; 2; 1; 4; 0; 1.0E-8; 0; 1.0; 0.0; 0.479; 0.0
WrappeMCTS-100_EX0_02.agt.zip; 2; 1; 4; 0; 1.0E-8; 1; 1.0; 0.0; 0.298; 0.0
WrappeMCTS-100_EX0_02.agt.zip; 2; 1; 5; 0; 1.0E-8; 0; 1.0; 0.0; 0.487; 0.0
WrappeMCTS-100_EX0_02.agt.zip; 2; 1; 5; 0; 1.0E-8; 1; 1.0; 0.0; 0.336; 0.0
WrappeMCTS-100_EX0_02.agt.zip; 2; 1; 6; 0; 1.0E-8; 0; 1.0; 0.0; 0.55; 0.0
WrappeMCTS-100_EX0_02.agt.zip; 2; 1; 6; 0; 1.0E-8; 1; 1.0; 0.0; 0.444; 0.0
WrappeMCTS-100_EX0_02.agt.zip; 2; 1; 7; 0; 1.0E-8; 0; 1.0; 0.0; 0.588; 0.0
WrappeMCTS-100_EX0_02.agt.zip; 2; 1; 7; 0; 1.0E-8; 1; 1.0; 0.0; 0.54; 0.0
WrappeMCTS-100_EX0_02.agt.zip; 2; 1; 8; 0; 1.0E-8; 0; 1.0; 0.0; 0.745; 0.0
WrappeMCTS-100_EX0_02.agt.zip; 2; 1; 8; 0; 1.0E-8; 1; 1.0; 0.0; 0.681; 0.0
WrappeMCTS-100_EX0_02.agt.zip; 2; 1; 9; 0; 1.0E-8; 0; 1.0; 0.0; 1.055; 0.0
WrappeMCTS-100_EX0_02.agt.zip; 2; 1; 9; 0; 1.0E-8; 1; 1.0; 0.0; 1.212; 0.0
WrappeMCTS-100_EX0_02.agt.zip; 2; 1; 1; 10000; 1.0E-8; 0; 1.0; 1.0; 47.034; 0.0
WrappeMCTS-100_EX0_02.agt.zip; 2; 1; 1; 10000; 1.0E-8; 1; 1.0; 1.0; 46.917; 0.0
WrappeMCTS-100_EX0_02.agt.zip; 2; 1; 2; 10000; 1.0E-8; 0; 1.0; 1.0; 46.206; 0.0
WrappeMCTS-100_EX0_02.agt.zip; 2; 1; 2; 10000; 1.0E-8; 1; 1.0; 1.0; 47.225; 0.0
WrappeMCTS-100_EX0_02.agt.zip; 2; 1; 3; 10000; 1.0E-8; 0; 1.0; 1.0; 44.135; 0.0
WrappeMCTS-100_EX0_02.agt.zip; 2; 1; 3; 10000; 1.0E-8; 1; 1.0; 1.0; 44.807; 0.0
WrappeMCTS-100_EX0_02.agt.zip; 2; 1; 4; 10000; 1.0E-8; 0; 1.0; 1.0; 45.932; 0.0
WrappeMCTS-100_EX0_02.agt.zip; 2; 1; 4; 10000; 1.0E-8; 1; 1.0; 1.0; 48.736; 0.0
WrappeMCTS-100_EX0_02.agt.zip; 2; 1; 5; 10000; 1.0E-8; 0; 1.0; 1.0; 45.49; 0.0
WrappeMCTS-100_EX0_02.agt.zip; 2; 1; 5; 10000; 1.0E-8; 1; 1.0; 1.0; 45.227; 0.0
WrappeMCTS-100_EX0_02.agt.zip; 2; 1; 6; 10000; 1.0E-8; 0; 1.0; 1.0; 46.287; 0.0
WrappeMCTS-100_EX0_02.agt.zip; 2; 1; 6; 10000; 1.0E-8; 1; 1.0; 0.0; 48.34; 0.0
WrappeMCTS-100_EX0_02.agt.zip; 2; 1; 7; 10000; 1.0E-8; 0; 1.0; 1.0; 46.649; 0.0
WrappeMCTS-100_EX0_02.agt.zip; 2; 1; 7; 10000; 1.0E-8; 1; 1.0; 1.0; 46.207; 0.0
WrappeMCTS-100_EX0_02.agt.zip; 2; 1; 8; 10000; 1.0E-8; 0; 1.0; 0.5; 47.163; 0.0
WrappeMCTS-100_EX0_02.agt.zip; 2; 1; 8; 10000; 1.0E-8; 1; 1.0; 1.0; 51.108; 0.0
WrappeMCTS-100_EX0_02.agt.zip; 2; 1; 9; 10000; 1.0E-8; 0; 1.0; 0.0; 49.186; 0.0
WrappeMCTS-100_EX0_02.agt.zip; 2; 1; 9; 10000; 1.0E-8; 1; 1.0; 1.0; 48.517; 0.0
WrappeMCTS-100_EX0_03.agt.zip; 3; 1; 1; 0; 1.0E-8; 0; 1.0; 1.0; 0.476; 0.0
WrappeMCTS-100_EX0_03.agt.zip; 3; 1; 1; 0; 1.0E-8; 1; 1.0; 1.0; 0.285; 0.0
WrappeMCTS-100_EX0_03.agt.zip; 3; 1; 2; 0; 1.0E-8; 0; 1.0; 0.0; 0.484; 0.0
WrappeMCTS-100_EX0_03.agt.zip; 3; 1; 2; 0; 1.0E-8; 1; 1.0; 0.0; 0.333; 0.0
WrappeMCTS-100_EX0_03.agt.zip; 3; 1; 3; 0; 1.0E-8; 0; 1.0; 1.0; 0.491; 0.0
WrappeMCTS-100_EX0_03.agt.zip; 3; 1; 3; 0; 1.0E-8; 1; 1.0; 0.0; 0.283; 0.0
WrappeMCTS-100_EX0_03.agt.zip; 3; 1; 4; 0; 1.0E-8; 0; 1.0; 0.0; 0.474; 0.0
WrappeMCTS-100_EX0_03.agt.zip; 3; 1; 4; 0; 1.0E-8; 1; 1.0; 0.0; 0.298; 0.0
WrappeMCTS-100_EX0_03.agt.zip; 3; 1; 5; 0; 1.0E-8; 0; 1.0; 0.0; 0.489; 0.0
WrappeMCTS-100_EX0_03.agt.zip; 3; 1; 5; 0; 1.0E-8; 1; 1.0; 0.0; 0.34; 0.0
WrappeMCTS-100_EX0_03.agt.zip; 3; 1; 6; 0; 1.0E-8; 0; 1.0; 0.0; 0.586; 0.0
WrappeMCTS-100_EX0_03.agt.zip; 3; 1; 6; 0; 1.0E-8; 1; 1.0; 0.0; 0.368; 0.0
WrappeMCTS-100_EX0_03.agt.zip; 3; 1; 7; 0; 1.0E-8; 0; 1.0; 0.0; 0.667; 0.0
WrappeMCTS-100_EX0_03.agt.zip; 3; 1; 7; 0; 1.0E-8; 1; 1.0; 0.0; 0.404; 0.0
WrappeMCTS-100_EX0_03.agt.zip; 3; 1; 8; 0; 1.0E-8; 0; 1.0; 0.0; 0.85; 0.0
WrappeMCTS-100_EX0_03.agt.zip; 3; 1; 8; 0; 1.0E-8; 1; 1.0; 0.0; 0.515; 0.0
WrappeMCTS-100_EX0_03.agt.zip; 3; 1; 9; 0; 1.0E-8; 0; 1.0; 0.0; 1.254; 0.0
WrappeMCTS-100_EX0_03.agt.zip; 3; 1; 9; 0; 1.0E-8; 1; 1.0; 0.0; 0.706; 0.0
WrappeMCTS-100_EX0_03.agt.zip; 3; 1; 1; 10000; 1.0E-8; 0; 1.0; 1.0; 45.542; 0.0
WrappeMCTS-100_EX0_03.agt.zip; 3; 1; 1; 10000; 1.0E-8; 1; 1.0; 1.0; 47.938; 0.0
WrappeMCTS-100_EX0_03.agt.zip; 3; 1; 2; 10000; 1.0E-8; 0; 1.0; 1.0; 45.851; 0.0
WrappeMCTS-100_EX0_03.agt.zip; 3; 1; 2; 10000; 1.0E-8; 1; 1.0; 1.0; 48.397; 0.0
WrappeMCTS-100_EX0_03.agt.zip; 3; 1; 3; 10000; 1.0E-8; 0; 1.0; 1.0; 45.164; 0.0
WrappeMCTS-100_EX0_03.agt.zip; 3; 1; 3; 10000; 1.0E-8; 1; 1.0; 1.0; 44.418; 0.0
WrappeMCTS-100_EX0_03.agt.zip; 3; 1; 4; 10000; 1.0E-8; 0; 1.0; 1.0; 42.823; 0.0
WrappeMCTS-100_EX0_03.agt.zip; 3; 1; 4; 10000; 1.0E-8; 1; 1.0; 1.0; 48.032; 0.0
WrappeMCTS-100_EX0_03.agt.zip; 3; 1; 5; 10000; 1.0E-8; 0; 1.0; 1.0; 46.329; 0.0
WrappeMCTS-100_EX0_03.agt.zip; 3; 1; 5; 10000; 1.0E-8; 1; 1.0; 1.0; 43.918; 0.0
WrappeMCTS-100_EX0_03.agt.zip; 3; 1; 6; 10000; 1.0E-8; 0; 1.0; 1.0; 43.644; 0.0
WrappeMCTS-100_EX0_03.agt.zip; 3; 1; 6; 10000; 1.0E-8; 1; 1.0; 1.0; 44.83; 0.0
WrappeMCTS-100_EX0_03.agt.zip; 3; 1; 7; 10000; 1.0E-8; 0; 1.0; 1.0; 46.372; 0.0
WrappeMCTS-100_EX0_03.agt.zip; 3; 1; 7; 10000; 1.0E-8; 1; 1.0; 1.0; 46.512; 0.0
WrappeMCTS-100_EX0_03.agt.zip; 3; 1; 8; 10000; 1.0E-8; 0; 1.0; 0.5; 43.246; 0.0
WrappeMCTS-100_EX0_03.agt.zip; 3; 1; 8; 10000; 1.0E-8; 1; 1.0; 1.0; 48.602; 0.0
WrappeMCTS-100_EX0_03.agt.zip; 3; 1; 9; 10000; 1.0E-8; 0; 1.0; 1.0; 47.028; 0.0
WrappeMCTS-100_EX0_03.agt.zip; 3; 1; 9; 10000; 1.0E-8; 1; 1.0; 1.0; 48.26; 0.0
WrappeMCTS-100_EX0_04.agt.zip; 4; 1; 1; 0; 1.0E-8; 0; 1.0; 0.0; 0.489; 0.0
WrappeMCTS-100_EX0_04.agt.zip; 4; 1; 1; 0; 1.0E-8; 1; 1.0; 1.0; 0.305; 0.0
WrappeMCTS-100_EX0_04.agt.zip; 4; 1; 2; 0; 1.0E-8; 0; 1.0; 0.0; 0.485; 0.0
WrappeMCTS-100_EX0_04.agt.zip; 4; 1; 2; 0; 1.0E-8; 1; 1.0; 0.0; 0.295; 0.0
WrappeMCTS-100_EX0_04.agt.zip; 4; 1; 3; 0; 1.0E-8; 0; 1.0; 0.0; 0.479; 0.0
WrappeMCTS-100_EX0_04.agt.zip; 4; 1; 3; 0; 1.0E-8; 1; 1.0; 0.0; 0.309; 0.0
WrappeMCTS-100_EX0_04.agt.zip; 4; 1; 4; 0; 1.0E-8; 0; 1.0; 0.0; 0.495; 0.0
WrappeMCTS-100_EX0_04.agt.zip; 4; 1; 4; 0; 1.0E-8; 1; 1.0; 0.0; 0.325; 0.0
WrappeMCTS-100_EX0_04.agt.zip; 4; 1; 5; 0; 1.0E-8; 0; 1.0; 0.0; 0.547; 0.0
WrappeMCTS-100_EX0_04.agt.zip; 4; 1; 5; 0; 1.0E-8; 1; 1.0; 0.0; 0.354; 0.0
WrappeMCTS-100_EX0_04.agt.zip; 4; 1; 6; 0; 1.0E-8; 0; 1.0; 0.0; 0.615; 0.0
WrappeMCTS-100_EX0_04.agt.zip; 4; 1; 6; 0; 1.0E-8; 1; 1.0; 0.0; 0.436; 0.0
WrappeMCTS-100_EX0_04.agt.zip; 4; 1; 7; 0; 1.0E-8; 0; 1.0; 0.0; 0.63; 0.0
WrappeMCTS-100_EX0_04.agt.zip; 4; 1; 7; 0; 1.0E-8; 1; 1.0; 0.0; 0.467; 0.0
WrappeMCTS-100_EX0_04.agt.zip; 4; 1; 8; 0; 1.0E-8; 0; 1.0; 0.0; 0.845; 0.0
WrappeMCTS-100_EX0_04.agt.zip; 4; 1; 8; 0; 1.0E-8; 1; 1.0; 0.0; 0.701; 0.0
WrappeMCTS-100_EX0_04.agt.zip; 4; 1; 9; 0; 1.0E-8; 0; 1.0; 0.0; 1.161; 0.0
WrappeMCTS-100_EX0_04.agt.zip; 4; 1; 9; 0; 1.0E-8; 1; 1.0; 0.0; 0.935; 0.0
WrappeMCTS-100_EX0_04.agt.zip; 4; 1; 1; 10000; 1.0E-8; 0; 1.0; 1.0; 47.571; 0.0
WrappeMCTS-100_EX0_04.agt.zip; 4; 1; 1; 10000; 1.0E-8; 1; 1.0; 1.0; 49.859; 0.0
WrappeMCTS-100_EX0_04.agt.zip; 4; 1; 2; 10000; 1.0E-8; 0; 1.0; 1.0; 43.517; 0.0
WrappeMCTS-100_EX0_04.agt.zip; 4; 1; 2; 10000; 1.0E-8; 1; 1.0; 1.0; 49.517; 0.0
WrappeMCTS-100_EX0_04.agt.zip; 4; 1; 3; 10000; 1.0E-8; 0; 1.0; 1.0; 49.026; 0.0
WrappeMCTS-100_EX0_04.agt.zip; 4; 1; 3; 10000; 1.0E-8; 1; 1.0; 1.0; 46.205; 0.0
WrappeMCTS-100_EX0_04.agt.zip; 4; 1; 4; 10000; 1.0E-8; 0; 1.0; 1.0; 44.937; 0.0
WrappeMCTS-100_EX0_04.agt.zip; 4; 1; 4; 10000; 1.0E-8; 1; 1.0; 0.5; 44.854; 0.0
WrappeMCTS-100_EX0_04.agt.zip; 4; 1; 5; 10000; 1.0E-8; 0; 1.0; 1.0; 44.364; 0.0
WrappeMCTS-100_EX0_04.agt.zip; 4; 1; 5; 10000; 1.0E-8; 1; 1.0; 1.0; 44.177; 0.0
WrappeMCTS-100_EX0_04.agt.zip; 4; 1; 6; 10000; 1.0E-8; 0; 1.0; 0.0; 49.869; 0.0
WrappeMCTS-100_EX0_04.agt.zip; 4; 1; 6; 10000; 1.0E-8; 1; 1.0; 0.0; 46.117; 0.0
WrappeMCTS-100_EX0_04.agt.zip; 4; 1; 7; 10000; 1.0E-8; 0; 1.0; 1.0; 44.685; 0.0
WrappeMCTS-100_EX0_04.agt.zip; 4; 1; 7; 10000; 1.0E-8; 1; 1.0; 0.0; 45.506; 0.0
WrappeMCTS-100_EX0_04.agt.zip; 4; 1; 8; 10000; 1.0E-8; 0; 1.0; 0.5; 46.798; 0.0
