TDNTuple4Agt: USESYM:false, P:12, NORMALIZE:false, sigmoid:none, lambda:0.0, horizon:1, AFTERSTATE:false, learnFromRM: false
TDNTuple4Agt: alpha_init->final:0.25->0.25, epsilon_init->final:0.0->0.0, gamma: 1.0, random 120 7-tuple, evalQ: 1, evalT: -1
run, competeNum, dEdax, iterMWrap, EPS, p_MWrap, c_puct, winrate, user1, user2
1, 1, 0, 0, 1.0E-8, 0, 1.0, 0.26666666666666666, 0.0, 0.0
1, 1, 0, 100, 1.0E-8, 0, 1.0, 0.34500000000000003, 0.0, 0.0
1, 1, 0, 200, 1.0E-8, 0, 1.0, 0.54, 0.0, 0.0
1, 1, 0, 500, 1.0E-8, 0, 1.0, 0.6749999999999999, 0.0, 0.0
1, 1, 0, 1000, 1.0E-8, 0, 1.0, 0.6816666666666666, 0.0, 0.0
1, 1, 0, 0, 0.0, 0, 1.0, 0.25166666666666665, 0.0, 0.0
1, 1, 0, 100, 0.0, 0, 1.0, 0.0, 0.0, 0.0
1, 1, 0, 200, 0.0, 0, 1.0, 0.0, 0.0, 0.0
1, 1, 0, 500, 0.0, 0, 1.0, 0.08833333333333333, 0.0, 0.0
1, 1, 0, 1000, 0.0, 0, 1.0, 0.38833333333333336, 0.0, 0.0
1, 1, 0, 0, -1.0E-8, 0, 1.0, 0.2683333333333333, 0.0, 0.0
1, 1, 0, 100, -1.0E-8, 0, 1.0, 0.0, 0.0, 0.0
1, 1, 0, 200, -1.0E-8, 0, 1.0, 0.0, 0.0, 0.0
1, 1, 0, 500, -1.0E-8, 0, 1.0, 0.03666666666666666, 0.0, 0.0
1, 1, 0, 1000, -1.0E-8, 0, 1.0, 0.2333333333333333, 0.0, 0.0
2, 1, 0, 0, 1.0E-8, 0, 1.0, 0.2816666666666667, 0.0, 0.0
2, 1, 0, 100, 1.0E-8, 0, 1.0, 0.31, 0.0, 0.0
2, 1, 0, 200, 1.0E-8, 0, 1.0, 0.5216666666666666, 0.0, 0.0
2, 1, 0, 500, 1.0E-8, 0, 1.0, 0.6683333333333333, 0.0, 0.0
2, 1, 0, 1000, 1.0E-8, 0, 1.0, 0.6716666666666667, 0.0, 0.0
2, 1, 0, 0, 0.0, 0, 1.0, 0.2833333333333333, 0.0, 0.0
2, 1, 0, 100, 0.0, 0, 1.0, 0.0, 0.0, 0.0
2, 1, 0, 200, 0.0, 0, 1.0, 0.001666666666666668, 0.0, 0.0
2, 1, 0, 500, 0.0, 0, 1.0, 0.12333333333333334, 0.0, 0.0
2, 1, 0, 1000, 0.0, 0, 1.0, 0.34166666666666673, 0.0, 0.0
2, 1, 0, 0, -1.0E-8, 0, 1.0, 0.235, 0.0, 0.0
2, 1, 0, 100, -1.0E-8, 0, 1.0, 0.0, 0.0, 0.0
2, 1, 0, 200, -1.0E-8, 0, 1.0, 0.0, 0.0, 0.0
2, 1, 0, 500, -1.0E-8, 0, 1.0, 0.053333333333333344, 0.0, 0.0
2, 1, 0, 1000, -1.0E-8, 0, 1.0, 0.2183333333333333, 0.0, 0.0
3, 1, 0, 0, 1.0E-8, 0, 1.0, 0.27999999999999997, 0.0, 0.0
3, 1, 0, 100, 1.0E-8, 0, 1.0, 0.3383333333333334, 0.0, 0.0
3, 1, 0, 200, 1.0E-8, 0, 1.0, 0.5566666666666666, 0.0, 0.0
3, 1, 0, 500, 1.0E-8, 0, 1.0, 0.6749999999999999, 0.0, 0.0
3, 1, 0, 1000, 1.0E-8, 0, 1.0, 0.68, 0.0, 0.0
3, 1, 0, 0, 0.0, 0, 1.0, 0.2683333333333333, 0.0, 0.0
3, 1, 0, 100, 0.0, 0, 1.0, 0.0, 0.0, 0.0
3, 1, 0, 200, 0.0, 0, 1.0, 0.0050000000000000044, 0.0, 0.0
3, 1, 0, 500, 0.0, 0, 1.0, 0.1366666666666667, 0.0, 0.0
3, 1, 0, 1000, 0.0, 0, 1.0, 0.35000000000000003, 0.0, 0.0
3, 1, 0, 0, -1.0E-8, 0, 1.0, 0.27166666666666667, 0.0, 0.0
3, 1, 0, 100, -1.0E-8, 0, 1.0, 0.0, 0.0, 0.0
3, 1, 0, 200, -1.0E-8, 0, 1.0, 0.001666666666666668, 0.0, 0.0
3, 1, 0, 500, -1.0E-8, 0, 1.0, 0.043333333333333335, 0.0, 0.0
3, 1, 0, 1000, -1.0E-8, 0, 1.0, 0.21499999999999997, 0.0, 0.0